Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701CW10923,Slight,2019-09-20,51.511119,Daylight,Westminster,-0.155998,1.0,2.0,Dry,One Way Street,Urban,Fine No High Winds,Car
200701CW10925,Slight,2019-09-19,51.496881,Daylight,Westminster,-0.125741,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Minibus (8 - 16 Passenger Seats)
200701CW10926,Slight,2019-08-07,51.515738,Daylight,Westminster,-0.152352,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10927,Serious,2019-09-05,51.513494,Daylight,Westminster,-0.141202,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Minibus (8 - 16 Passenger Seats)
200701CW10928,Serious,2019-09-19,51.515682,Darkness - Lights Lit,Westminster,-0.189108,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10929,Slight,2019-09-20,51.531729,Daylight,Westminster,-0.185876,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW10930,Serious,2019-09-23,51.510533,Daylight,Westminster,-0.181818,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10931,Slight,2019-09-11,51.521723,Darkness - Lights Lit,Westminster,-0.172724,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW10932,Slight,2019-09-13,51.493324,Daylight,Westminster,-0.139573,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10934,Slight,2019-08-13,51.522447,Daylight,Westminster,-0.155829,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW10935,Slight,2019-09-20,51.508315,Darkness - Lights Lit,Westminster,-0.143574,1.0,1.0,Wet,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10938,Slight,2019-09-04,51.500906,Daylight,Westminster,-0.124424,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10940,Slight,2019-09-17,51.501453,Daylight,Westminster,-0.153218,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10941,Slight,2019-09-03,51.4983,Daylight,Westminster,-0.13015,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW10942,Slight,2019-09-10,51.515524,Daylight,Westminster,-0.138813,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10944,Slight,2019-09-24,51.502222,Daylight,Westminster,-0.156357,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701CW10945,Slight,2019-09-24,51.537182,Daylight,Westminster,-0.183784,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10946,Slight,2019-09-24,51.50778,Daylight,Westminster,-0.121259,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Car
200701CW10947,Slight,2019-09-24,51.515185,Daylight,Westminster,-0.15151,1.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Car
200701CW10948,Slight,2019-09-24,51.529204,Daylight,Westminster,-0.179633,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10949,Serious,2019-09-16,51.534068,Darkness - Lights Lit,Westminster,-0.162857,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10950,Slight,2019-09-25,51.512623,Daylight,Westminster,-0.165882,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10952,Slight,2019-09-19,51.50257,Daylight,Westminster,-0.149859,1.0,2.0,Dry,Roundabout,Urban,Fine No High Winds,Car
200701CW10953,Slight,2019-09-23,51.492733,Daylight,Westminster,-0.147665,1.0,2.0,Dry,One Way Street,Urban,Fine No High Winds,Car
200701CW10954,Serious,2019-09-22,51.485193,Daylight,Westminster,-0.137168,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW10955,Slight,2019-09-26,51.534976,Daylight,Westminster,-0.169165,2.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10956,Slight,2019-09-19,51.515141,Daylight,Westminster,-0.154394,1.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10957,Slight,2019-09-25,51.513841,Daylight,Westminster,-0.163239,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10958,Slight,2019-09-26,51.5134,Darkness - Lights Lit,Westminster,-0.158068,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10959,Slight,2019-09-07,51.524108,Daylight,Westminster,-0.158501,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10960,Slight,2019-09-26,51.515213,Daylight,Westminster,-0.141852,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10962,Slight,2019-09-26,51.511704,Daylight,Westminster,-0.119224,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Car
200701CW10963,Slight,2019-09-24,51.526193,Daylight,Westminster,-0.20599,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW10965,Slight,2019-08-04,51.512854,Daylight,Westminster,-0.118024,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701CW10966,Slight,2019-09-22,51.523425,Daylight,Westminster,-0.183899,1.0,2.0,Dry,Roundabout,Urban,Fine No High Winds,Other Vehicle
200701CW10968,Slight,2019-09-22,51.51237,Daylight,Westminster,-0.127123,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10969,Slight,2019-09-26,51.508423,Darkness - Lights Lit,Westminster,-0.127718,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10970,Slight,2019-08-08,51.52636,Darkness - Lights Lit,Westminster,-0.193442,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Light Goods Vehicle (Lgv)
200701CW10971,Serious,2019-09-20,51.494957,Darkness - Lights Lit,Westminster,-0.129134,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10972,Slight,2019-09-27,51.52516,Daylight,Westminster,-0.197237,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10973,Slight,2019-09-27,51.495347,Daylight,Westminster,-0.153753,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10974,Slight,2019-09-28,51.490417,Darkness - Lights Lit,Westminster,-0.126439,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10975,Slight,2019-09-29,51.517218,Darkness - Lights Lit,Westminster,-0.166418,1.0,1.0,Wet,Dual Carriageway,Urban,Raining No High Winds,Car
200701CW10976,Slight,2019-09-11,51.529046,Daylight,Westminster,-0.198525,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10977,Slight,2019-09-20,51.515759,Daylight,Westminster,-0.18824,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW10978,Slight,2019-09-21,51.510082,Daylight,Westminster,-0.124623,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10979,Slight,2019-09-24,51.503215,Daylight,Westminster,-0.150842,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Minibus (8 - 16 Passenger Seats)
200701CW10981,Slight,2019-09-03,51.506128,Daylight,Westminster,-0.130406,2.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10982,Slight,2019-09-04,51.505347,Daylight,Westminster,-0.132167,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10983,Serious,2019-09-12,51.5017,Darkness - Lights Lit,Westminster,-0.174677,2.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701CW10984,Slight,2019-09-20,51.494724,Daylight,Westminster,-0.12583,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW10985,Slight,2019-06-26,51.523809,Daylight,Westminster,-0.14525,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10986,Slight,2019-09-20,51.503134,Daylight,Westminster,-0.151421,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10987,Slight,2019-09-22,51.531849,Daylight,Westminster,-0.211247,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10988,Serious,2019-09-30,51.506781,Darkness - Lights Lit,Westminster,-0.143204,1.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW10989,Slight,2019-09-06,51.507212,Darkness - Lights Lit,Westminster,-0.142034,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10990,Slight,2019-09-28,51.513608,Daylight,Westminster,-0.120155,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW10991,Slight,2019-09-30,51.501024,Daylight,Westminster,-0.126148,2.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10995,Slight,2019-10-01,51.485776,Daylight,Westminster,-0.145642,1.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701CW10996,Slight,2019-09-24,51.521304,Darkness - No Lighting,Westminster,-0.197966,1.0,1.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW10997,Slight,2019-09-18,51.513849,Daylight,Westminster,-0.186875,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW10998,Slight,2019-09-24,51.48903,Daylight,Westminster,-0.146662,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11000,Slight,2019-09-25,51.51425,Daylight,Westminster,-0.149242,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11001,Slight,2019-09-25,51.520393,Darkness - Lights Lit,Westminster,-0.191371,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11003,Slight,2019-10-03,51.494777,Daylight,Westminster,-0.129141,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11005,Slight,2019-10-05,51.514325,Daylight,Westminster,-0.153995,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11006,Slight,2019-10-05,51.501621,Darkness - Lights Lit,Westminster,-0.175401,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11007,Serious,2019-10-06,51.506893,Daylight,Westminster,-0.122016,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11008,Slight,2019-10-01,51.532683,Daylight,Westminster,-0.189442,1.0,2.0,Wet,Roundabout,Urban,Raining No High Winds,Motorcycle
200701CW11009,Serious,2019-04-12,51.513784,Daylight,Westminster,-0.153873,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11010,Slight,2019-10-03,51.498254,Daylight,Westminster,-0.132889,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11011,Slight,2019-10-04,51.513568,Daylight,Westminster,-0.112085,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11013,Slight,2019-09-23,51.515039,Daylight,Westminster,-0.194034,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11014,Slight,2019-09-28,51.50043,Daylight,Kensington And Chelsea,-0.162481,1.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701CW11015,Slight,2019-10-01,51.507167,Daylight,Westminster,-0.127913,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Other Vehicle
200701CW11016,Slight,2019-09-25,51.493885,Daylight,Westminster,-0.146609,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11017,Slight,2019-09-19,51.514977,Daylight,Westminster,-0.144024,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11019,Slight,2019-10-02,51.511601,Daylight,Westminster,-0.129605,1.0,1.0,Wet,One Way Street,Urban,Fine No High Winds,Car
200701CW11020,Slight,2019-10-04,51.51416,Daylight,Westminster,-0.149245,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11022,Slight,2019-10-10,51.497392,Daylight,Westminster,-0.146611,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11025,Serious,2019-10-09,51.533147,Daylight,Westminster,-0.172987,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701CW11026,Slight,2019-10-05,51.493887,Darkness - Lights Unlit,Westminster,-0.146753,1.0,1.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11027,Slight,2019-10-09,51.515203,Daylight,Westminster,-0.193018,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Light Goods Vehicle (Lgv)
200701CW11028,Slight,2019-10-10,51.520343,Darkness - Lights Lit,Westminster,-0.170761,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11030,Serious,2019-09-28,51.51416,Daylight,Westminster,-0.149245,1.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701CW11032,Slight,2019-09-27,51.534801,Darkness - Lights Lit,Westminster,-0.163692,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW11033,Serious,2019-10-09,51.50987,Daylight,Westminster,-0.122614,1.0,2.0,Wet,Dual Carriageway,Urban,Raining No High Winds,Car
200701CW11034,Slight,2019-10-11,51.5094,Daylight,Westminster,-0.126957,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11035,Slight,2019-10-12,51.508391,Daylight,Westminster,-0.125701,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11036,Slight,2019-10-13,51.510616,Darkness - Lighting Unknown,Westminster,-0.135554,1.0,2.0,Dry,One Way Street,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11037,Serious,2019-10-11,51.513598,Daylight,Westminster,-0.159213,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11038,Slight,2019-10-11,51.519492,Daylight,Westminster,-0.168056,1.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Car
200701CW11039,Slight,2019-09-30,51.529371,Darkness - Lights Lit,Westminster,-0.167227,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11040,Slight,2019-09-27,51.524832,Daylight,Westminster,-0.176059,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11041,Slight,2019-10-14,51.515753,Darkness - Lights Lit,Westminster,-0.136209,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11042,Slight,2019-10-13,51.51449,Daylight,Westminster,-0.147358,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11045,Slight,2019-10-02,51.507167,Daylight,Westminster,-0.127913,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11047,Slight,2019-10-04,51.524337,Daylight,Westminster,-0.196405,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701CW11048,Slight,2019-09-28,51.504681,Daylight,Westminster,-0.146892,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Pedal Cycle
200701CW11050,Slight,2019-10-08,51.515748,Daylight,Camden,-0.1303,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11051,Slight,2019-10-09,51.488392,Darkness - Lights Lit,Westminster,-0.129115,1.0,2.0,Wet,Single Carriageway,Urban,Other,Motorcycle
200701CW11052,Slight,2019-10-19,51.504297,Daylight,Westminster,-0.173997,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11054,Serious,2019-10-12,51.507987,Daylight,Westminster,-0.139841,2.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11055,Slight,2019-09-15,51.502511,Daylight,Westminster,-0.174789,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11056,Slight,2019-10-15,51.507669,Daylight,Westminster,-0.131207,1.0,2.0,Dry,One Way Street,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW11057,Serious,2019-10-10,51.519808,Darkness - Lights Lit,Westminster,-0.176836,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Car
200701CW11059,Slight,2019-10-17,51.512688,Darkness - Lights Lit,Westminster,-0.130137,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11061,Serious,2019-09-06,51.516743,Darkness - Lights Lit,Westminster,-0.159086,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11065,Slight,2019-10-24,51.52111,Daylight,Westminster,-0.150838,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11067,Slight,2019-10-14,51.510867,Darkness - Lights Lit,Westminster,-0.111909,1.0,1.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11068,Serious,2019-10-15,51.510461,Daylight,Westminster,-0.182974,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11069,Slight,2019-10-12,51.51945,Daylight,Westminster,-0.142545,1.0,1.0,Dry,Single Carriageway,Urban,Other,Car
200701CW11070,Slight,2019-10-22,51.513322,Daylight,Westminster,-0.113537,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11071,Slight,2019-08-10,51.498654,Daylight,Westminster,-0.152467,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11072,Slight,2019-10-15,51.517132,Daylight,Westminster,-0.143792,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11073,Slight,2019-10-15,51.510166,Darkness - Lights Lit,Westminster,-0.187165,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW11074,Slight,2019-08-15,51.515603,Darkness - Lights Lit,Camden,-0.126847,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Light Goods Vehicle (Lgv)
200701CW11075,Slight,2019-10-18,51.518755,Daylight,Westminster,-0.14978,1.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11076,Slight,2019-10-27,51.511126,Darkness - Lights Lit,Westminster,-0.13366,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11078,Serious,2019-10-06,51.527681,Daylight,Westminster,-0.174215,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11079,Serious,2019-08-19,51.49581,Daylight,Westminster,-0.143218,1.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Taxi/Private Hire Car
200701CW11082,Slight,2019-10-03,51.514997,Daylight,Westminster,-0.156706,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11083,Slight,2019-10-17,51.512728,Daylight,Westminster,-0.121344,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW11084,Slight,2019-10-23,51.505171,Daylight,Westminster,-0.138082,2.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Car
200701CW11085,Slight,2019-10-25,51.516718,Darkness - Lights Lit,Westminster,-0.157502,1.0,2.0,Wet,One Way Street,Urban,Raining No High Winds,Car
200701CW11087,Slight,2019-10-15,51.497273,Daylight,Westminster,-0.156125,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11089,Slight,2019-10-27,51.519056,Darkness - Lights Lit,Westminster,-0.168938,1.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701CW11092,Slight,2019-10-23,51.510547,Darkness - Lights Lit,Westminster,-0.182682,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11093,Serious,2019-10-23,51.526886,Darkness - Lighting Unknown,Westminster,-0.192556,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701CW11094,Slight,2019-10-23,51.501605,Daylight,Westminster,-0.162866,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11095,Slight,2019-10-23,51.521723,Darkness - Lights Lit,Westminster,-0.172724,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW11097,Slight,2019-10-19,51.532048,Daylight,Westminster,-0.183268,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW11098,Slight,2019-10-16,51.518273,Daylight,Westminster,-0.199671,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701CW11099,Slight,2019-10-04,51.512227,Daylight,Westminster,-0.157827,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11100,Slight,2019-10-12,51.512537,Darkness - Lights Lit,Westminster,-0.143258,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11101,Slight,2019-10-20,51.492677,Darkness - Lights Lit,Westminster,-0.138447,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11104,Slight,2019-09-12,51.508348,Daylight,Westminster,-0.151354,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW11105,Slight,2019-10-12,51.51521,Daylight,Westminster,-0.141708,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW11106,Slight,2019-10-23,51.517886,Daylight,Westminster,-0.151689,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11107,Slight,2019-10-29,51.511621,Darkness - Lights Lit,Westminster,-0.147907,1.0,1.0,Dry,One Way Street,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW11108,Slight,2019-10-17,51.514997,Daylight,Westminster,-0.156706,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11109,Slight,2019-10-28,51.523162,Darkness - Lights Lit,Westminster,-0.184342,1.0,2.0,Wet,Roundabout,Urban,Raining No High Winds,Other Vehicle
200701CW11110,Slight,2019-10-22,51.533992,Daylight,Westminster,-0.17526,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11111,Serious,2019-10-22,51.519889,Daylight,Westminster,-0.158959,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11112,Slight,2019-07-01,51.523782,Daylight,Westminster,-0.143521,1.0,2.0,Wet,Dual Carriageway,Urban,Fine No High Winds,Car
200701CW11114,Serious,2019-10-15,51.5162,Daylight,Camden,-0.130425,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW11115,Slight,2019-10-13,51.514488,Daylight,Westminster,-0.147214,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11116,Serious,2019-10-17,51.533197,Daylight,Westminster,-0.176157,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11117,Slight,2019-10-18,51.527591,Daylight,Westminster,-0.174219,2.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11118,Slight,2019-10-27,51.510482,Darkness - Lights Lit,Westminster,-0.138442,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701CW11119,Slight,2019-09-28,51.521882,Daylight,Westminster,-0.159888,1.0,1.0,Wet,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701CW11120,Slight,2019-10-25,51.496068,Daylight,Westminster,-0.142487,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW11121,Slight,2019-10-01,51.519979,Darkness - Lights Lit,Westminster,-0.170487,1.0,2.0,Dry,Roundabout,Urban,Fine No High Winds,Motorcycle
200701CW11122,Serious,2019-10-20,51.507451,Darkness - Lighting Unknown,Westminster,-0.128766,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701CW11123,Slight,2019-10-14,51.522166,Daylight,Westminster,-0.201392,3.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701CW11124,Slight,2019-10-28,51.512356,Darkness - Lights Lit,Westminster,-0.160272,1.0,2.0,Wet,Single Carriageway,Urban,Other,Car
200701CW11125,Slight,2019-10-25,51.514491,Daylight,Westminster,-0.141737,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701CW11126,Slight,2019-06-22,51.509158,Darkness - Lights Lit,Westminster,-0.134317,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11127,Slight,2019-11-02,51.511165,Daylight,Westminster,-0.119246,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701CW11129,Slight,2019-10-25,51.51373,Darkness - Lights Lit,Westminster,-0.156181,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11130,Slight,2019-11-05,51.509956,Darkness - Lights Lit,Westminster,-0.156333,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW11132,Slight,2019-10-26,51.502388,Daylight,Westminster,-0.149723,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Other Vehicle
200701CW11133,Slight,2019-10-27,51.489975,Daylight,Kensington And Chelsea,-0.155267,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701CW11134,Slight,2019-10-18,51.489233,Darkness - Lights Lit,Westminster,-0.131097,1.0,1.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701CW11135,Slight,2019-10-29,51.523145,Daylight,Westminster,-0.148737,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Car
